trial,cpp_slope_stim,cpp_val_at_t1,cpp_peak_resp,cpp_slope_resp,mrcp_mean,lrp_at_m100,lrp_onset,ideation_time,execution_time,total_time,n_strokes,pre_alpha,theta_planning,p1_amp,n1_amp,p3_amp,p3_lat,cnv_slope,cpp_slope,cpp_peak,cpp_peak_time,cpp_onset,cpp_auc
13,-3.3853018572127382,-1.8589878950640975,-1.4674450954242029,-1.113147248402744,-0.7158438867785686,-0.16711857382118095,-0.8,0.52,,,0,4.7198708126708085e-06,5.509681269800927e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-1.4426937013539092,-1.4193543229592267,0.32,1.2633333333333334,-0.0769436702791471
14,-9.692644131843732,-2.386244517809045,-1.8828040497794498,0.3670294294374273,-0.5312268354706116,-0.34326238169286943,-0.8,0.4033333333333333,,,0,5.611316817377063e-06,4.963724829182712e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-3.238153392676248,-1.608845055368673,0.3,0.24333333333333335,-0.06726577324870057
15,0.8248897851622163,-2.6964639341157604,-2.055783109656038,0.48413100427394157,0.5817828284991299,0.264608302301166,-0.8,0.37,,,0,7.851151660453854e-06,3.0424055251172496e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,,,,,
16,1.7941593583697453,0.8075830848911636,0.8529599632345775,0.8478614751314637,-0.30785765950683847,1.6344484764186613,-0.8,0.5833333333333334,,,0,4.179810466028164e-06,3.226624583343345e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,1.480231516152413,1.1475922317926732,0.5266666666666666,0.06666666666666667,-0.013318247838155512
17,4.872540359239558,2.5564031431446352,2.49375617127486,0.28353846505117863,0.26905563972193725,-0.9863566762247504,-0.79,0.54,,,0,3.7299730689479065e-06,3.4658216593426755e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,0.44367331816776767,2.885318494848621,0.43666666666666665,0.14333333333333334,0.07579987164065011
18,-0.2056395196679945,2.1129176912488736,2.090312227465427,-0.3651969837096146,0.11386787900217106,-1.3818023516273423,-0.8,0.42333333333333334,,,0,4.833315731265784e-06,4.247108421431468e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-0.5967555360195371,2.7480559625058394,0.36333333333333334,0.01,-0.018406491970306704
19,2.22239529954806,-1.1421614928171622,-0.9276542646911674,-2.4793699660207116,-0.4691527654519346,1.089206319917271,-0.8,0.42,,,0,7.455567068665799e-06,6.9531754048002224e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,18.15504403313846,-0.875872300808323,0.42,0.09333333333333334,0.13948319690815383
20,3.378024127370832,-0.4895061223518168,-0.26175723177819327,2.8731893259989643,0.22018995401343727,0.6302914063296898,-0.8,0.8233333333333334,,,0,5.326498330576647e-06,3.246375158064331e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,0.9030762789027744,-0.019786446719244795,0.7966666666666666,0.38333333333333336,0.34381180693238034
21,-1.6407284655573555,-0.48372418509466436,-0.21452788946223672,-0.299063312623406,-0.16163328745009692,0.44378904507952754,-0.8,0.49,,,0,5.009700129580638e-06,5.375696516004275e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-0.4373531325834941,-0.047265242218800026,0.46,1.4066666666666667,0.016237110835503568
22,-0.07989747098926132,2.2256436863563285,2.309737434287823,2.561105837398334,-0.5279434140580362,0.42205268121638906,-0.8,0.4166666666666667,,,0,5.2758873836843e-06,2.4690946631574973e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,2.6058218267270292,2.69251930582293,0.4166666666666667,0.08333333333333333,0.012518007913974562
